# JIS-X0213 aka Shift JIS character mapping table
0x00 0x0000
0x01 0x0001
0x02 0x0002
0x03 0x0003
0x04 0x0004
0x05 0x0005
0x06 0x0006
0x07 0x0007
0x08 0x0008
0x09 0x0009
0x0a 0x000a
0x0b 0x000b
0x0c 0x000c
0x0d 0x000d
0x0e 0x000e
0x0f 0x000f
0x10 0x0010
0x11 0x0011
0x12 0x0012
0x13 0x0013
0x14 0x0014
0x15 0x0015
0x16 0x0016
0x17 0x0017
0x18 0x0018
0x19 0x0019
0x1a 0x001a
0x1b 0x001b
0x1c 0x001c
0x1d 0x001d
0x1e 0x001e
0x1f 0x001f
0x20 0x0020
0x21 0x0021
0x22 0x0022
0x23 0x0023
0x24 0x0024
0x25 0x0025
0x26 0x0026
0x27 0x0027
0x28 0x0028
0x29 0x0029
0x2a 0x002a
0x2b 0x002b
0x2c 0x002c
0x2d 0x002d
0x2e 0x002e
0x2f 0x002f
0x30 0x0030
0x31 0x0031
0x32 0x0032
0x33 0x0033
0x34 0x0034
0x35 0x0035
0x36 0x0036
0x37 0x0037
0x38 0x0038
0x39 0x0039
0x3a 0x003a
0x3b 0x003b
0x3c 0x003c
0x3d 0x003d
0x3e 0x003e
0x3f 0x003f
0x40 0x0040
0x41 0x0041
0x42 0x0042
0x43 0x0043
0x44 0x0044
0x45 0x0045
0x46 0x0046
0x47 0x0047
0x48 0x0048
0x49 0x0049
0x4a 0x004a
0x4b 0x004b
0x4c 0x004c
0x4d 0x004d
0x4e 0x004e
0x4f 0x004f
0x50 0x0050
0x51 0x0051
0x52 0x0052
0x53 0x0053
0x54 0x0054
0x55 0x0055
0x56 0x0056
0x57 0x0057
0x58 0x0058
0x59 0x0059
0x5a 0x005a
0x5b 0x005b
0x5c 0x00a5
0x5d 0x005d
0x5e 0x005e
0x5f 0x005f
0x60 0x0060
0x61 0x0061
0x62 0x0062
0x63 0x0063
0x64 0x0064
0x65 0x0065
0x66 0x0066
0x67 0x0067
0x68 0x0068
0x69 0x0069
0x6a 0x006a
0x6b 0x006b
0x6c 0x006c
0x6d 0x006d
0x6e 0x006e
0x6f 0x006f
0x70 0x0070
0x71 0x0071
0x72 0x0072
0x73 0x0073
0x74 0x0074
0x75 0x0075
0x76 0x0076
0x77 0x0077
0x78 0x0078
0x79 0x0079
0x7a 0x007a
0x7b 0x007b
0x7c 0x007c
0x7d 0x007d
0x7e 0x203e
0x7f 0x007f
0xa1 0xff61
0xa2 0xff62
0xa3 0xff63
0xa4 0xff64
0xa5 0xff65
0xa6 0xff66
0xa7 0xff67
0xa8 0xff68
0xa9 0xff69
0xaa 0xff6a
0xab 0xff6b
0xac 0xff6c
0xad 0xff6d
0xae 0xff6e
0xaf 0xff6f
0xb0 0xff70
0xb1 0xff71
0xb2 0xff72
0xb3 0xff73
0xb4 0xff74
0xb5 0xff75
0xb6 0xff76
0xb7 0xff77
0xb8 0xff78
0xb9 0xff79
0xba 0xff7a
0xbb 0xff7b
0xbc 0xff7c
0xbd 0xff7d
0xbe 0xff7e
0xbf 0xff7f
0xc0 0xff80
0xc1 0xff81
0xc2 0xff82
0xc3 0xff83
0xc4 0xff84
0xc5 0xff85
0xc6 0xff86
0xc7 0xff87
0xc8 0xff88
0xc9 0xff89
0xca 0xff8a
0xcb 0xff8b
0xcc 0xff8c
0xcd 0xff8d
0xce 0xff8e
0xcf 0xff8f
0xd0 0xff90
0xd1 0xff91
0xd2 0xff92
0xd3 0xff93
0xd4 0xff94
0xd5 0xff95
0xd6 0xff96
0xd7 0xff97
0xd8 0xff98
0xd9 0xff99
0xda 0xff9a
0xdb 0xff9b
0xdc 0xff9c
0xdd 0xff9d
0xde 0xff9e
0xdf 0xff9f
0x8140 0x3000
0x8141 0x3001
0x8142 0x3002
0x8143 0xff0c
0x8144 0xff0e
0x8145 0x30fb
0x8146 0xff1a
0x8147 0xff1b
0x8148 0xff1f
0x8149 0xff01
0x814a 0x309b
0x814b 0x309c
0x814c 0x00b4
0x814d 0xff40
0x814e 0x00a8
0x814f 0xff3e
0x8150 0xffe3
0x8151 0xff3f
0x8152 0x30fd
0x8153 0x30fe
0x8154 0x309d
0x8155 0x309e
0x8156 0x3003
0x8157 0x4edd
0x8158 0x3005
0x8159 0x3006
0x815a 0x3007
0x815b 0x30fc
0x815c 0x2014
0x815d 0x2010
0x815e 0xff0f
0x815f 0x005c
0x8160 0x301c
0x8161 0x2016
0x8162 0xff5c
0x8163 0x2026
0x8164 0x2025
0x8165 0x2018
0x8166 0x2019
0x8167 0x201c
0x8168 0x201d
0x8169 0xff08
0x816a 0xff09
0x816b 0x3014
0x816c 0x3015
0x816d 0xff3b
