# DerivedLineBreak-3.1.0.txt
#
# Unicode Character Database: Derived Property Data
# Generated algorithmically from the Unicode Character Database
# For documentation, see DerivedProperties.html
# Date: 2001-03-02 00:05:44.2 GMT [MD]
# Note: Unassigned and Noncharacter codepoints are omitted,
#       except when listing Noncharacter or Cn.
# ================================================


# ================================================
# Line Break (listing LineBreak.txt, field 1)
# ================================================

E000..F8FF    ; XX # Co [6400] 
F0000..FFFFD  ; XX # Co [65534] 
100000..10FFFD; XX # Co [65534] 

# Total code points: 137468

# ================================================

0028          ; OP # Ps       LEFT PARENTHESIS
005B          ; OP # Ps       LEFT SQUARE BRACKET
007B          ; OP # Ps       LEFT CURLY BRACKET
0F3A          ; OP # Ps       TIBETAN MARK GUG RTAGS GYON
0F3C          ; OP # Ps       TIBETAN MARK ANG KHANG GYON
169B          ; OP # Ps       OGHAM FEATHER MARK
201A          ; OP # Ps       SINGLE LOW-9 QUOTATION MARK
201E          ; OP # Ps       DOUBLE LOW-9 QUOTATION MARK
2045          ; OP # Ps       LEFT SQUARE BRACKET WITH QUILL
207D          ; OP # Ps       SUPERSCRIPT LEFT PARENTHESIS
208D          ; OP # Ps       SUBSCRIPT LEFT PARENTHESIS
2329          ; OP # Ps       LEFT-POINTING ANGLE BRACKET
3008          ; OP # Ps       LEFT ANGLE BRACKET
300A          ; OP # Ps       LEFT DOUBLE ANGLE BRACKET
300C          ; OP # Ps       LEFT CORNER BRACKET
300E          ; OP # Ps       LEFT WHITE CORNER BRACKET
3010          ; OP # Ps       LEFT BLACK LENTICULAR BRACKET
3014          ; OP # Ps       LEFT TORTOISE SHELL BRACKET
3016          ; OP # Ps       LEFT WHITE LENTICULAR BRACKET
3018          ; OP # Ps       LEFT WHITE TORTOISE SHELL BRACKET
301A          ; OP # Ps       LEFT WHITE SQUARE BRACKET
301D          ; OP # Ps       REVERSED DOUBLE PRIME QUOTATION MARK
FD3E          ; OP # Ps       ORNATE LEFT PARENTHESIS
FE35          ; OP # Ps       PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
FE37          ; OP # Ps       PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
FE39          ; OP # Ps       PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
FE3B          ; OP # Ps       PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
FE3D          ; OP # Ps       PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
